"公園番号","公園名","住所","管内","No","開設","改修","種別","面積","構造","兼用個室","兼用和式","兼用手洗い","男子小便器","男子個室","男子洋式","男子和式","男子手洗い","女子個室","女子洋式","女子和式","女子手洗い","誰でも個室","誰でも手洗い","オストメイト","ベビーチェア","ベビーベッド","男子小便器(1)","幼児用小便器","経度","緯度","分類"
"108","四宮森公園","東京都杉並区上井草2-41-25","北","A-83","S55.3.31","","公園","6","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.608659674368","35.724369837215","公園・公衆トイレ"
"110","今川三丁目公園","東京都杉並区今川3- 3- 7","北","A-84","H9.1.21","","公園","6.15","鉄筋","1","1","2","1","","","","","","","","","","","","","","","","139.606069430895","35.7150495753599","公園・公衆トイレ"
"112","高井戸正用公園","東京都杉並区高井戸東3-14-23","南","A-85","S56.2.25","","公園","4.7","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.624445612908","35.6844869634005","公園・公衆トイレ"
"113","和泉二丁目公園","東京都杉並区和泉2-45-10","南","A-86","S56.3.26","","公園","5.59","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.649568364913","35.6770745912101","公園・公衆トイレ"
"114","柳窪公園","東京都杉並区高井戸東4-12-26","南","A-87","S56.3.5","","公園","6","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.618862437947","35.6915784740987","公園・公衆トイレ"
"116","阿佐谷けやき公園","東京都杉並区阿佐谷北1- 1- 1","北","A-88","S57.3.20","","公園","6.71","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.640969943667","35.7053339136575","公園・公衆トイレ"
"118","正保公園","東京都杉並区井草1-32- 2","北","A-89","S56.9.1","","公園","5.46","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.623105736846","35.727076231462","公園・公衆トイレ"
"119","大田黒公園","東京都杉並区荻窪3-33-12","南","F-2","S56.8.4","","建物付属","0","木造","","","","1","1","1","","1","","","","","1","1","","1","1","","","139.624569227952","35.7007918453888","公園・公衆トイレ"
"122","与謝野公園","東京都杉並区南荻窪4- 3-22","北","A-90","S57.3.19","H24.4.25","公園","5.64","鉄骨","","","","","","","","","","","","","1","1","1","1","","1","","139.615720864889","35.6987741147634","公園・公衆トイレ"
"123","松庵三丁目公園","東京都杉並区松庵3- 5-21","北","A-91","H6.3.31","","公園","2.11","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.597095687442","35.6991182445855","公園・公衆トイレ"
"124","高南幼児公園","東京都杉並区高円寺南4-37-15","北","A-92","H8.1.19","","公園","2.36","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.653577666707","35.7049034179027","公園・公衆トイレ"
"125","高井戸わんぱく公園","東京都杉並区高井戸西2- 5-10","南","A-93","S58.5.17","","公園","3.29","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.61218310246","35.6842236185103","公園・公衆トイレ"
"126","柿木公園","東京都杉並区上井草1-26-18","北","A-94","H7.2.7","","公園","2.47","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.612361705576","35.7236699190307","公園・公衆トイレ"
"127","梅里中央公園","東京都杉並区梅里2-34-20","南","F-3","","","建物付属","0","","","","","2","1","","1","","2","","2","","","","","","","","","139.641468562252","35.6963698960806","公園・公衆トイレ"
"128","山中公園","東京都杉並区高井戸西1- 5-33","南","A-95","S58.3.14","H8.1.24","公園","2.49","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.614530703781","35.6815886022916","公園・公衆トイレ"
"129","今川一丁目公園","東京都杉並区今川1-19- 8","北","A-96","S58.3.14","","公園","7.28","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.613708706239","35.7184570023089","公園・公衆トイレ"
"130","井草さくら公園","東京都杉並区井草1-17-16","北","A-97","S58.10.5","","公園","5.46","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.622943286594","35.7258110684276","公園・公衆トイレ"
"133","切通し公園","東京都杉並区上井草4- 3-10","北","A-98","S59.10.31","","公園","10.9","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.597104661708","35.7175646716197","公園・公衆トイレ"
"134","清水一丁目公園","東京都杉並区清水1-28-11","北","A-99","S59.12.20","","公園","6.3","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.616487149749","35.7116027598283","公園・公衆トイレ"
"136","上瀬戸公園","東京都杉並区上井草3-16-23","北","A-100","S60.3.30","","公園","1.1","FRP","1","1","1","","","","","","","","","","","","","","","","","139.604426210127","35.7208397893737","公園・公衆トイレ"
"137","馬橋公園","東京都杉並区高円寺北4-35- 5","北","F-4","S59.11.5","","建物付属","0","鉄筋","","","","3","1","1","","2","3","1","2","2","1","1","","","","","","139.64305725313","35.7095822797282","公園・公衆トイレ"
"138","上高井戸宿公園","東京都杉並区上高井戸1-24- 5","南","A-101","S27.3.31","H3.3.31","公園","6.5","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.61243068906","35.6722856270258","公園・公衆トイレ"
"140","高井戸みどり公園","東京都杉並区高井戸西1- 9- 4","南","A-102","S60.10.31","","公園","10.9","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.6106579784","35.6792018776242","公園・公衆トイレ"
"141","青葉公園","東京都杉並区松庵2-20- 3","北","A-103","S60.12.19","","公園","1.65","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.593390110909","35.6984515505002","公園・公衆トイレ"
"142","清水森公園","東京都杉並区清水2- 9-17","北","A-104","S61.2.26","","公園","7.68","鉄筋","1","1","1","2","","","","","","","","","","","","","","","","139.618075276327","35.7136986368399","公園・公衆トイレ"
"144","ひかり公園","東京都杉並区高井戸東2- 2- 8","南","A-105","S61.3.22","","公園","2.99","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.616473191306","35.6770995987587","公園・公衆トイレ"
"145","蚕糸の森公園（北）","東京都杉並区和田3-55-30","南","A-106","S61.6.24","","公園","45","鉄筋","","","","3","1","","1","1","3","","3","1","1","1","","","1","","","139.656043668059","35.6976767947457","公園・公衆トイレ"
"145","蚕糸の森公園（南）","東京都杉並区和田3-55-30","南","A-107","S61.8.5","","公園","37.88","鉄筋","","","","2","1","","1","1","2","","2","1","","","","","","","","139.656374541134","35.696732469998","公園・公衆トイレ"
"146","阿佐谷ことり公園","東京都杉並区阿佐谷南3- 4-16","北","A-108","S61.8.12","","公園","1.1","FRP","1","1","","","","","","","","","","","","","","","","","","139.634016549215","35.7014424609979","公園・公衆トイレ"
"148","阿佐谷かりん公園","東京都杉並区阿佐谷北4-20-13","北","A-109","S61.12.26","","公園","1.1","FRP","1","1","1","","","","","","","","","","","","","","","","","139.635346853567","35.7127962596276","公園・公衆トイレ"
"149","和田中央公園","東京都杉並区和田1-38-19","南","A-110","S62.2.14","","公園","6.8","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.661642646576","35.6922800052093","公園・公衆トイレ"
"150","成田かっぱ公園","東京都杉並区成田西1- 2-30","南","A-111","S62.3.18","","公園","19.1","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.637601538852","35.6845722917826","公園・公衆トイレ"
"151","一本松公園","東京都杉並区下井草1- 3-12","北","A-112","S62.3.31","","公園","1.65","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.634629076968","35.7152921655815","公園・公衆トイレ"
"154","東二第三公園","東京都杉並区成田東3-27-24","南","A-113","S62.9.29","","公園","2.92","鉄筋","1","1","","","","","","","","","","","","","","","","","","139.638074869118","35.6939629370386","公園・公衆トイレ"
"157","高南みどり公園","東京都杉並区高円寺南4- 1- 8","北","A-114","S63.2.23","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.654526377788","35.7019027196264","公園・公衆トイレ"
"161","堀ノ内三丁目公園","東京都杉並区堀ノ内3-44-10","南","A-115","S63.3.31","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.651221483839","35.6936963869777","公園・公衆トイレ"
"162","塚山公園（西）","東京都杉並区下高井戸5-23-11","南","A-116","S63.3.31","","公園","35.59","鉄筋","","","","3","1","","1","1","2","","2","1","","","","","","","","139.624461442436","35.6755914685341","公園・公衆トイレ"
"162","塚山公園（東）","東京都杉並区下高井戸5-23-11","南","A-117","S63.3.31","","公園","35.59","鉄筋","","","","3","","1","1","1","2","2","","1","","","","","","","","139.626183886995","35.6753475141882","公園・公衆トイレ"
"162","塚山公園（管理棟）","東京都杉並区下高井戸5-23-11","南","G-1","S62.12.14","","建物便所","0","鉄骨鉄筋","","","","3","2","1","1","2","3","1","2","3","","","","","","","","139.624748881424","35.6749746299094","公園・公衆トイレ"
"164","兵庫橋公園","東京都杉並区久我山3- 5-37","南","A-118","S63.11.19","","公園","6.6","鉄筋","","","","","","","","","","","","","1","1","","1","1","1","","139.593982715759","35.6854288945297","公園・公衆トイレ"
"167","新高円寺公園","東京都杉並区高円寺南3-16- 5","北","A-119","H1.3.31","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.645460453638","35.6990267136269","公園・公衆トイレ"
"169","宮下橋公園","東京都杉並区久我山3-27-15","南","A-120","H1.3.31","","公園","5.56","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.596860612683","35.6873783308364","公園・公衆トイレ"
"171","西荻南児童公園","東京都杉並区西荻南3- 4- 5","北","A-121","H1.8.4","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.601981648545","35.7013701743543","公園・公衆トイレ"
